Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T083_001,SE_T083_002,SE_T083_003,SE_T083_004,SE_T083_005,SE_T083_006,SE_T083_007,SE_T083_008,SE_T083_009,SE_T083_010,SE_T083_011,SE_T083_012,SE_T083_013,SE_T083_014,SE_T083_015,SE_T083_016,SE_T083_017,SE_T083_018,SE_T083_019,SE_T083_020,SE_T083_021,SE_T083_022,SE_T083_023,SE_T083_024,SE_T083_025,SE_T083_026,SE_T083_027,SE_T084_001,SE_T084_002,SE_T084_003,SE_T084_004,SE_T084_005,SE_T084_006,SE_T084_007,SE_T084_008,SE_T084_009,SE_T084_010,SE_T084_011,SE_T084_012,SE_T084_013,SE_T084_014,SE_T085_001,SE_T085_002,SE_T085_003,SE_T085_004,SE_T085_005,SE_T085_006,SE_T085_007,SE_T085_008,SE_T085_009,SE_T085_010,SE_T085_011,SE_T085_012,SE_T085_013,SE_T085_014,SE_T086_001,SE_T086_002,SE_T086_003,SE_T086_004,SE_T086_005,SE_T086_006,SE_T086_007,SE_T086_008,SE_T086_009,SE_T086_010,SE_T086_011,SE_T086_012,SE_T086_013,SE_T086_014,SE_T087_001,SE_T087_002,SE_T087_003,SE_T087_004,SE_T087_005,SE_T087_006,SE_T088_001,SE_T088_002,SE_T088_003,SE_T088_004,SE_T088_005,SE_T088_006,SE_T089_001,SE_T089_002,SE_T089_003,SE_T089_004,SE_T089_005,SE_T089_006,SE_T215_001,SE_T215_002,SE_T215_003,SE_T215_004,SE_T215_005,SE_T215_006,SE_T215_007,SE_T215_008,SE_T215_009
"17031825801","Census Tract 8258.01","Census Tract 8258.01, Cook County, Illinois","00","17","031","825801",4085.06348001688,4085.06348001688,4324.01747238582,0.944737967897921,1718.02818416879,12.9998054983599,12.9998054983599,0,56.0008736016305,188.002118899314,40.0012706222636,156.002192328013,253.005244875095,253.004434185955,0.000810689139103051,123.000163918957,187.003034626689,141.002529348696,46.0005052779933,157.001096447495,65.001369482646,0,91.9997269648497,366.00582864041,87.002796819159,279.003031821252,55.0021271161465,28.000008937103,27.0021181790435,75.0020305551389,49.0023970392762,1718.02818416879,82.0043804100466,278.004105182625,31.9998590138734,60.0007461975437,19.0010893960801,20.001569855556,81.0008823854417,117.002933466932,465.006081409605,12.9998054983599,129.001740565532,121.002580871418,301.002409915775,769.01371591979,44.0001523758958,53.0012787929084,2.99995511500614,25.0005942815228,19.0002336686555,9.00162183815313,31.9999490904444,46.0009781799912,125.00261110133,12.9998054983599,113.001371935312,81.0023686488634,206.002795393347,949.014468248999,38.0042280341508,225.002826389717,28.9999038988673,35.0001519160209,0.000855727424608775,10.9999480174029,49.0009332949973,71.0019552869408,340.003470308275,0,16.0003686302204,40.0002122225543,94.9996145224276,1718.02818416879,1264.0156328209,250.007992057219,61.0012716953052,143.003287595363,0,769.01371591979,584.009683046633,111.002482777494,35.0006698563042,39.0008802393587,0,949.014468248999,680.005949774269,139.005509279725,26.000601839001,104.002407356004,0,1718.02818416879,360.008485592672,212.004146848495,582.009014876537,12.9998054983599,129.001740565532,422.004990787192,121.002580871418,301.002409915775
"17031826201","Census Tract 8262.01","Census Tract 8262.01, Cook County, Illinois","00","17","031","826201",3673,3673,1575.64367991051,2.33111080051336,1544,13,8,5,79,123,20,235,134,130,4,104,201,173,28,114,87,0,27,320,128,192,65,0,65,82,54,1544,303,297,17,30,48,3,28,179,325,0,110,108,96,630,68,125,0,18,26,3,5,75,58,0,106,87,59,914,235,172,17,12,22,0,23,104,267,0,4,21,37,1544,1096,227,65,156,0,630,457,56,44,73,0,914,639,171,21,83,0,1544,600,126,504,0,110,204,108,96
"17031826301","Census Tract 8263.01","Census Tract 8263.01, Cook County, Illinois","00","17","031","826301",4023,4023,4228.41026552551,0.951421396547011,1847,0,0,0,70,165,69,164,205,190,15,60,246,165,81,152,129,0,23,411,145,266,84,26,58,78,143,1847,309,364,6,60,28,39,37,194,389,0,132,117,172,840,90,129,0,49,8,19,10,80,101,0,124,74,156,1007,219,235,6,11,20,20,27,114,288,0,8,43,16,1847,1226,399,54,168,0,840,558,195,38,49,0,1007,668,204,16,119,0,1847,673,170,583,0,132,289,117,172
"17031826303","Census Tract 8263.03","Census Tract 8263.03, Cook County, Illinois","00","17","031","826303",4177,4177,6931.94836526971,0.602572289910223,1840,0,0,0,50,208,47,177,242,217,25,95,165,155,10,125,71,0,54,472,209,263,82,29,53,70,107,1840,223,406,27,93,34,21,65,226,357,0,108,124,156,883,103,122,5,68,10,6,21,136,71,0,108,98,135,957,120,284,22,25,24,15,44,90,286,0,0,26,21,1840,1193,376,106,165,0,883,631,144,79,29,0,957,562,232,27,136,0,1840,629,240,583,0,108,280,124,156
"17031826304","Census Tract 8263.04","Census Tract 8263.04, Cook County, Illinois","00","17","031","826304",3595,3595,7364.55497903979,0.488148979840833,1743,0,0,0,63,212,30,169,190,190,0,101,133,110,23,171,92,0,79,446,159,287,107,39,68,42,79,1743,197,262,51,45,53,22,68,162,479,0,136,113,155,776,86,58,12,29,35,22,35,50,120,0,130,76,123,967,111,204,39,16,18,0,33,112,359,0,6,37,32,1743,1221,338,77,107,0,776,576,125,49,26,0,967,645,213,28,81,0,1743,459,239,641,0,136,268,113,155
"17031826401","Census Tract 8264.01","Census Tract 8264.01, Cook County, Illinois","00","17","031","826401",4533.04368527704,4533.04368527704,3910.16639051721,1.15929687705117,2149.01743946274,0.0001945016400692,0.0001945016400692,0,46.0006609452869,291.001693657989,8.00056769998798,196.001580238058,321.002550791451,305.002612324645,15.9999384668063,73.0015595395522,252.001828683484,178.001425037931,74.0004036455518,161.001729803584,95.0006071548628,0,66.0011226487212,486.003606898493,147.000736328605,339.002870569888,138.000292167759,0.000418926609379816,137.999873241149,67.000864454598,110.00031008086,2149.01743946274,267.000200021329,268.003128661771,73.0001980280717,45.00072463777,69.0000189097301,49.0001107878868,45.0010388327271,207.000954429068,607.004622758513,0.0001945016400692,124.001453172485,205.001021967375,190.003772754376,944.007875061666,99.0002775766074,75.0005045313795,4.48849938621231E-05,34.0002432835789,40.0001304386436,38.999984667822,0.000478773267862646,71.0004151830256,164.001239492842,0.0001945016400692,124.001213785851,147.000646558617,151.002501383397,1205.00956440108,167.999922444722,193.002624130391,73.0001531430778,11.0004813541911,28.9998884710865,10.0001261200648,45.0005600594592,136.000539246042,443.003383265671,0,0.000239386633931323,58.0003754087577,39.0012713709794,2149.01743946274,1475.01323895279,461.001967491013,87.0005780748012,126.001654944141,0,944.007875061666,718.005976310072,178.000976187993,32.0004005918743,16.0005219717265,0,1205.00956440108,757.007262642716,283.000991303019,55.0001774829269,110.001132972414,0,2149.01743946274,535.0033286831,281.002091196185,814.005577187581,0.0001945016400692,124.001453172485,395.004794721751,205.001021967375,190.003772754376
"17031826402","Census Tract 8264.02","Census Tract 8264.02, Cook County, Illinois","00","17","031","826402",5532.87540158315,5532.87540158315,7093.01794359847,0.780045312951257,2392.94611169139,0,0,0,75.9982885451508,218.995068307737,82.9981309111515,200.995473652306,400.990969823756,364.991780512895,35.9991893108609,88.997995796295,258.994167542027,205.995361056593,52.9988064854341,152.996554571158,103.997658009154,0,48.9988965620051,501.988695390338,181.995901516019,319.992793874319,130.997049992299,18.9995721362877,111.997477856012,139.996847320015,138.996869839157,2392.94611169139,248.994392733455,366.99173547461,14.9996622128587,72.998356102579,60.9986263322921,82.9981309111515,92.997905719724,207.995316018307,578.986961416346,0,162.996329379732,194.995608767163,306.993086623174,1119.97477856012,35.9991893108609,91.9979282388667,0,42.9990316768616,22.9994820597167,77.9982435068653,18.9995721362877,73.9983335834363,198.995518690592,0,135.996937396586,158.996419456302,260.994122503741,1272.97133313128,212.995203422594,274.993807235743,14.9996622128587,29.9993244257174,37.9991442725754,4.99988740428623,73.9983335834363,133.996982434871,379.991442725754,0,26.9993919831457,35.9991893108609,45.9989641194334,2392.94611169139,1533.96545563502,520.988267526626,96.997815643153,240.994572886596,0,1119.97477856012,817.981579341228,183.995856477733,52.9988064854341,64.9985362557211,0,1272.97133313128,715.983876293789,336.992411048893,43.9990091577189,175.996036630875,0,2392.94611169139,615.986128208065,324.992681278605,786.982277434653,0,162.996329379732,501.988695390338,194.995608767163,306.993086623174
"17031826500","Census Tract 8265","Census Tract 8265, Cook County, Illinois","00","17","031","826500",6846.01743312293,6846.01743312293,5016.40145225526,1.36472678637893,2944.00826467708,0,0,0,48.0001769079318,342.00111913496,40.0000307665968,254.000753781623,420.001234509698,399.001172976504,21.0000615331937,108.000280745196,232.0009691478,198.00068455678,34.0002845910208,322.000619177762,149.000365353337,0,173.000253824424,666.001869070758,155.000565336217,511.001303734541,187.000530723796,62,125.000530723795,109.000257670249,216.000423040707,2944.00826467708,250.00102683517,478.001030680994,95.0002807451962,78.0001730621073,100.000265361898,112.000188445406,169.000173062107,317.000796085693,610.002334415535,0,149.000476882251,229.000788394044,357.000730706675,1393.00363045843,81.0003807366359,151.000288436845,0,62.0001307580366,47.0001538329842,83.0001499871596,77,148.000273053547,146.000630715235,0,120.000476882251,144.000565336217,334.000580719515,1551.00463421865,169.000646098534,327.000742244149,95.0002807451962,16.0000423040707,53.0001115289135,29.000038458246,92.0001730621072,169.000523032146,464.0017037003,0,29,85.0002230578271,23.0001499871596,2944.00826467708,1998.0056725913,626.001772925143,138.000334586741,182.0004845739,0,1393.00363045843,949.002761302066,312.00068455678,49.0001230663874,83.0000615331937,0,1551.00463421865,1049.00291128923,314.001088368364,89.0002115203533,99.0004230407065,0,2944.00826467708,728.002057516163,554.001080676714,927.003130501228,0,149.000476882251,586.001519100719,229.000788394044,357.000730706675
