"GEOID","WorkingPop80","Manufacturing80","WorkingPop90","Manufacturing90","WorkingPop00","Manufacturing00","WorkingPop10","Manufacturing10","WorkingPop18","Manufacturing18"
"17031825801",3349.29045011965,1143.76769425467,2131.03103897163,331.004442258629,1718.02818416879,188.002118899314,1348,174,1604,109
"17031826201",4059.34022800291,1119.54170652081,2034.99997901469,354.999996339172,1544,123,1099,113,1478,148
"17031826301",2427.99999512418,644.999998704734,1997.99999598769,360.999999275052,1847,165,1808,146,2231,114
"17031826303",2154.78906493447,505.361345962269,2156.99999981167,380.999999966734,1840,208,1923,155,1527,144
"17031826304",1691.21092406403,396.638651457554,1680.99998925192,245.99999842711,1743,212,1421,110,1136,101
"17031826401",1961.04255210646,542.015023499544,2034.02404332532,334.003664919636,2149.01743946274,291.001693657989,1895,157,1736,142
"17031826402",2961.93330804929,905.97960063898,2792.93711322812,416.990610890127,2392.94611169139,218.995068307737,2199,198,1936,81
"17031826500",3019.00754108018,727.002084296824,2811.00782186549,511.001284406929,2944.00826467708,342.00111913496,2235,74,2051,172
